Level,vendorCode,vendorName,deviceCode,deviceName,subvendorCode,subvendorName
"1","0095","Silicon Image, Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"2","0095","Silicon Image, Inc. (Wrong ID)","0680","Ultra ATA/133 IDE RAID CONTROLLER CARD","N/A","N/A"
"1","00a7","Teles AG (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0100","nCipher Security","N/A","N/A","N/A","N/A"
"1","0123","General Dynamics","N/A","N/A","N/A","N/A"
"1","0128","Dell (wrong ID)","N/A","N/A","N/A","N/A"
"1","018a","LevelOne","N/A","N/A","N/A","N/A"
"2","018a","LevelOne","0106","FPC-0106TX misprogrammed [RTL81xx]","N/A","N/A"
"1","01de","Oxide Computer Company","N/A","N/A","N/A","N/A"
"1","0200","Dell (wrong ID)","N/A","N/A","N/A","N/A"
"1","021b","Compaq Computer Corporation","N/A","N/A","N/A","N/A"
"2","021b","Compaq Computer Corporation","8139","HNE-300 (RealTek RTL8139c) [iPaq Networking]","N/A","N/A"
"1","0270","Hauppauge computer works Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0291","Davicom Semiconductor, Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"1","02ac","SpeedStream","N/A","N/A","N/A","N/A"
"2","02ac","SpeedStream","1012","1012 PCMCIA 10/100 Ethernet Card [RTL81xx]","N/A","N/A"
"1","02e0","XFX Pine Group Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0303","Hewlett-Packard Company (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0308","ZyXEL Communications Corporation (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0315","SK-Electronics Co., Ltd.","N/A","N/A","N/A","N/A"
"1","0357","TTTech Computertechnik AG (Wrong ID)","N/A","N/A","N/A","N/A"
"2","0357","TTTech Computertechnik AG (Wrong ID)","000a","TTP-Monitoring Card V2.0","N/A","N/A"
"1","0432","SCM Microsystems, Inc.","N/A","N/A","N/A","N/A"
"2","0432","SCM Microsystems, Inc.","0001","Pluto2 DVB-T Receiver for PCMCIA [EasyWatch MobilSet]","N/A","N/A"
"1","0497","Dell Inc. (wrong ID)","N/A","N/A","N/A","N/A"
"1","0675","Dynalink","N/A","N/A","N/A","N/A"
"2","0675","Dynalink","1700","IS64PH ISDN Adapter","N/A","N/A"
"2","0675","Dynalink","1702","IS64PH ISDN Adapter","N/A","N/A"
"2","0675","Dynalink","1703","ISDN Adapter (PCI Bus, DV, W)","N/A","N/A"
"2","0675","Dynalink","1704","ISDN Adapter (PCI Bus, D, C)","N/A","N/A"
"1","0721","Sapphire, Inc.","N/A","N/A","N/A","N/A"
"1","0731","Jingjia Microelectronics Co Ltd","N/A","N/A","N/A","N/A"
"2","0731","Jingjia Microelectronics Co Ltd","7200","JM7200 Series GPU","N/A","N/A"
"1","0777","Ubiquiti Networks, Inc.","N/A","N/A","N/A","N/A"
"1","0795","Wired Inc.","N/A","N/A","N/A","N/A"
"2","0795","Wired Inc.","6663","Butane II (MPEG2 encoder board)","N/A","N/A"
"2","0795","Wired Inc.","6666","MediaPress (MPEG2 encoder board)","N/A","N/A"
"1","07d1","D-Link System Inc","N/A","N/A","N/A","N/A"
"1","0824","T1042 [Freescale]","N/A","N/A","N/A","N/A"
"1","0925","VIA Technologies, Inc. (Wrong ID)","N/A","N/A","N/A","N/A"
"1","0a89","BREA Technologies Inc","N/A","N/A","N/A","N/A"
"1","0b0b","Rhino Equipment Corp.","N/A","N/A","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0105","R1T1","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0205","R4FXO","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0206","RCB4FXO 4-channel FXO analog telephony card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0305","R4T1","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0405","R8FXX","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0406","RCB8FXX 8-channel modular analog telephony card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0505","R24FXX","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0506","RCB24FXS 24-Channel FXS analog telephony card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0605","R2T1","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0705","R24FXS","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0706","RCB24FXO 24-Channel FXO analog telephony card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0905","R1T3 Single T3 Digital Telephony Card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0906","RCB24FXX 24-channel modular analog telephony card","N/A","N/A"
"2","0b0b","Rhino Equipment Corp.","0a06","RCB672FXX 672-channel modular analog telephony card","N/A","N/A"
"1","0e11","Compaq Computer Corporation","N/A","N/A","N/A","N/A"
"2","0e11","Compaq Computer Corporation","0001","PCI to EISA Bridge","N/A","N/A"
"2","0e11","Compaq Computer Corporation","0002","PCI to ISA Bridge","N/A","N/A"
"2","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","N/A","N/A"
"3","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","0e11 4091","Smart Array 6i"
"3","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","0e11 409a","Smart Array 641"
"3","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","0e11 409b","Smart Array 642"
"3","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","0e11 409c","Smart Array 6400"
"3","0e11","Compaq Computer Corporation","0046","Smart Array 64xx","0e11 409d","Smart Array 6400 EM"
"2","0e11","Compaq Computer Corporation","0049","NC7132 Gigabit Upgrade Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","004a","NC6136 Gigabit Server Adapter","N/A","N/A"
"2","0e11","Compaq Computer Corporation","005a","Remote Insight II board - Lights-Out","N/A","N/A"
"2","0e11","Compaq Computer Corporation","007c","NC7770 1000BaseTX","N/A","N/A"
"2","0e11","Compaq Computer Corporation","007d","NC6770 1000BaseTX","N/A","N/A"
"2","0e11","Compaq Computer Corporation","0085","NC7780 1000BaseTX","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00b1","Remote Insight II board - PCI device","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00bb","NC7760","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00ca","NC7771","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00cb","NC7781","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00cf","NC7772","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00d0","NC7782","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00d1","NC7783","N/A","N/A"
"2","0e11","Compaq Computer Corporation","00e3","NC7761","N/A","N/A"
"2","0e11","Compaq Computer Corporation","0508","Netelligent 4/16 Token Ring","N/A","N/A"
"2","0e11","Compaq Computer Corporation","1000","Triflex/Pentium Bridge, Model 1000","N/A","N/A"
"2","0e11","Compaq Computer Corporation","2000","Triflex/Pentium Bridge, Model 2000","N/A","N/A"
"2","0e11","Compaq Computer Corporation","3032","QVision 1280/p","N/A","N/A"
"2","0e11","Compaq Computer Corporation","3033","QVision 1280/p","N/A","N/A"
"2","0e11","Compaq Computer Corporation","3034","QVision 1280/p","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4000","4000 [Triflex]","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4040","Integrated Array","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4048","Compaq Raid LC2","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4050","Smart Array 4200","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4051","Smart Array 4250ES","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4058","Smart Array 431","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4070","Smart Array 5300","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4080","Smart Array 5i","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4082","Smart Array 532","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4083","Smart Array 5312","N/A","N/A"
"2","0e11","Compaq Computer Corporation","4091","Smart Array 6i","N/A","N/A"
"2","0e11","Compaq Computer Corporation","409a","Smart Array 641","N/A","N/A"
"2","0e11","Compaq Computer Corporation","409b","Smart Array 642","N/A","N/A"
"2","0e11","Compaq Computer Corporation","409c","Smart Array 6400","N/A","N/A"
"2","0e11","Compaq Computer Corporation","409d","Smart Array 6400 EM","N/A","N/A"
"2","0e11","Compaq Computer Corporation","6010","HotPlug PCI Bridge 6010","N/A","N/A"
"2","0e11","Compaq Computer Corporation","7020","USB Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","a0ec","Fibre Channel Host Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","a0f0","Advanced System Management Controller","N/A","N/A"
"3","0e11","Compaq Computer Corporation","a0f0","Advanced System Management Controller","0e11 b0f3","ProLiant DL360"
"2","0e11","Compaq Computer Corporation","a0f3","Triflex PCI to ISA Bridge","N/A","N/A"
"2","0e11","Compaq Computer Corporation","a0f7","PCI Hotplug Controller","N/A","N/A"
"3","0e11","Compaq Computer Corporation","a0f7","PCI Hotplug Controller","8086 002a","PCI Hotplug Controller A"
"3","0e11","Compaq Computer Corporation","a0f7","PCI Hotplug Controller","8086 002b","PCI Hotplug Controller B"
"2","0e11","Compaq Computer Corporation","a0f8","ZFMicro Chipset USB","N/A","N/A"
"2","0e11","Compaq Computer Corporation","a0fc","FibreChannel HBA Tachyon","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","N/A","N/A"
"3","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","0e11 4030","Smart-2/P Array Controller"
"3","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","0e11 4031","Smart-2SL Array Controller"
"3","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","0e11 4032","Smart Array 3200 Controller"
"3","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","0e11 4033","Smart Array 3100ES Controller"
"3","0e11","Compaq Computer Corporation","ae10","Smart-2/P RAID Controller","0e11 4034","Smart Array 221 Controller"
"2","0e11","Compaq Computer Corporation","ae29","MIS-L","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae2a","MPC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae2b","MIS-E","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae31","System Management Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae32","Netelligent 10/100 TX PCI UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae33","Triflex Dual EIDE Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae34","Netelligent 10 T PCI UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae35","Integrated NetFlex-3/P","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae40","Netelligent Dual 10/100 TX PCI UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae43","Netelligent Integrated 10/100 TX UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae69","CETUS-L","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae6c","Northstar","N/A","N/A"
"2","0e11","Compaq Computer Corporation","ae6d","NorthStar CPU to PCI Bridge","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b011","Netelligent 10/100 TX Embedded UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b012","Netelligent 10 T/2 PCI UTP/Coax","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b01e","NC3120 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b01f","NC3122 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b02f","NC1120 Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b030","Netelligent 10/100 TX UTP","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b04a","10/100 TX PCI Intel WOL UTP Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b060","Smart Array 5300 Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0c6","NC3161 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0c7","NC3160 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0d7","NC3121 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0dd","NC3131 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0de","NC3132 Fast Ethernet Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0df","NC6132 Gigabit Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0e0","NC6133 Gigabit Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b0e1","NC3133 Fast Ethernet Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b123","NC6134 Gigabit NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b134","NC3163 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b13c","NC3162 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b144","NC3123 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b163","NC3134 Fast Ethernet NIC","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b164","NC3165 Fast Ethernet Upgrade Module","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b178","Smart Array 5i/532","N/A","N/A"
"3","0e11","Compaq Computer Corporation","b178","Smart Array 5i/532","0e11 4080","Smart Array 5i"
"3","0e11","Compaq Computer Corporation","b178","Smart Array 5i/532","0e11 4082","Smart Array 532"
"3","0e11","Compaq Computer Corporation","b178","Smart Array 5i/532","0e11 4083","Smart Array 5312"
"2","0e11","Compaq Computer Corporation","b1a4","NC7131 Gigabit Server Adapter","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b200","Memory Hot-Plug Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b203","Integrated Lights Out Controller","N/A","N/A"
"2","0e11","Compaq Computer Corporation","b204","Integrated Lights Out  Processor","N/A","N/A"
"2","0e11","Compaq Computer Corporation","c000","Remote Insight Lights-Out Edition","N/A","N/A"
"2","0e11","Compaq Computer Corporation","f130","NetFlex-3/P ThunderLAN 1.0","N/A","N/A"
"2","0e11","Compaq Computer Corporation","f150","NetFlex-3/P ThunderLAN 2.3","N/A","N/A"
"1","0e55","HaSoTec GmbH","N/A","N/A","N/A","N/A"
"1","0eac","SHF Communication Technologies AG","N/A","N/A","N/A","N/A"
"2","0eac","SHF Communication Technologies AG","0008","Ethernet Powerlink Managing Node 01","N/A","N/A"
"1","0f62","Acrox Technologies Co., Ltd.","N/A","N/A","N/A","N/A"
"1","1000","Broadcom / LSI","N/A","N/A","N/A","N/A"
"2","1000","Broadcom / LSI","0001","53c810","N/A","N/A"
"3","1000","Broadcom / LSI","0001","53c810","1000 1000","LSI53C810AE PCI to SCSI I/O Processor"
"2","1000","Broadcom / LSI","0002","53c820","N/A","N/A"
"2","1000","Broadcom / LSI","0003","53c825","N/A","N/A"
"3","1000","Broadcom / LSI","0003","53c825","1000 1000","LSI53C825AE PCI to SCSI I/O Processor (Ultra Wide)"
"2","1000","Broadcom / LSI","0004","53c815","N/A","N/A"
"2","1000","Broadcom / LSI","0005","53c810AP","N/A","N/A"
"2","1000","Broadcom / LSI","0006","53c860","N/A","N/A"
"3","1000","Broadcom / LSI","0006","53c860","1000 1000","LSI53C860E PCI to Ultra SCSI I/O Processor"
"2","1000","Broadcom / LSI","000a","53c1510","N/A","N/A"
"3","1000","Broadcom / LSI","000a","53c1510","0e11 b143","Integrated Dual Channel Wide Ultra2 SCSI Controller"
"3","1000","Broadcom / LSI","000a","53c1510","1000 1000","LSI53C1510 PCI to Dual Channel Wide Ultra2 SCSI Controller (Nonintelligent mode)"
"2","1000","Broadcom / LSI","000b","53C896/897","N/A","N/A"
"3","1000","Broadcom / LSI","000b","53C896/897","0e11 6004","EOB003 Series SCSI host adapter"
"3","1000","Broadcom / LSI","000b","53C896/897","1000 1000","LSI53C896/7 PCI to Dual Channel Ultra2 SCSI Multifunction Controller"
"3","1000","Broadcom / LSI","000b","53C896/897","1000 1010","LSI22910 PCI to Dual Channel Ultra2 SCSI host adapter"
"3","1000","Broadcom / LSI","000b","53C896/897","1000 1020","LSI21002 PCI to Dual Channel Ultra2 SCSI host adapter"
"3","1000","Broadcom / LSI","000b","53C896/897","13e9 1000","6221L-4U (Dual U2W SCSI, dual 10/100TX, graphics)"
"2","1000","Broadcom / LSI","000c","53c895","N/A","N/A"
"3","1000","Broadcom / LSI","000c","53c895","1000 1010","LSI8951U PCI to Ultra2 SCSI host adapter"
"3","1000","Broadcom / LSI","000c","53c895","1000 1020","LSI8952U PCI to Ultra2 SCSI host adapter"
"3","1000","Broadcom / LSI","000c","53c895","1de1 3906","DC-390U2B SCSI adapter"
"3","1000","Broadcom / LSI","000c","53c895","1de1 3907","DC-390U2W"
"2","1000","Broadcom / LSI","000d","53c885","N/A","N/A"
"2","1000","Broadcom / LSI","000f","53c875","N/A","N/A"
"3","1000","Broadcom / LSI","000f","53c875","0e11 7004","Embedded Ultra Wide SCSI Controller"
"3","1000","Broadcom / LSI","000f","53c875","1000 1000","LSI53C876/E PCI to Dual Channel SCSI Controller"
"3","1000","Broadcom / LSI","000f","53c875","1000 1010","LSI22801 PCI to Dual Channel Ultra SCSI host adapter"
"3","1000","Broadcom / LSI","000f","53c875","1000 1020","LSI22802 PCI to Dual Channel Ultra SCSI host adapter"
"3","1000","Broadcom / LSI","000f","53c875","1092 8760","FirePort 40 Dual SCSI Controller"
"3","1000","Broadcom / LSI","000f","53c875","1775 10d0","V5D Single Board Computer Wide Ultra SCSI"
"3","1000","Broadcom / LSI","000f","53c875","1775 10d1","V5D Single Board Computer Ultra SCSI"
"3","1000","Broadcom / LSI","000f","53c875","1de1 3904","DC390F/U Ultra Wide SCSI Adapter"
"3","1000","Broadcom / LSI","000f","53c875","4c53 1000","CC7/CR7/CP7/VC7/VP7/VR7 mainboard"
"3","1000","Broadcom / LSI","000f","53c875","4c53 1050","CT7 mainboard"
"2","1000","Broadcom / LSI","0010","53C1510","N/A","N/A"
"3","1000","Broadcom / LSI","0010","53C1510","0e11 4040","Integrated Smart Array Controller"
"3","1000","Broadcom / LSI","0010","53C1510","0e11 4048","RAID LC2 Controller"
"3","1000","Broadcom / LSI","0010","53C1510","1000 1000","53C1510 PCI to Dual Channel Wide Ultra2 SCSI Controller (Intelligent mode)"
"2","1000","Broadcom / LSI","0012","53c895a","N/A","N/A"
"3","1000","Broadcom / LSI","0012","53c895a","1000 1000","LSI53C895A PCI to Ultra2 SCSI Controller"
"2","1000","Broadcom / LSI","0013","53c875a","N/A","N/A"
"3","1000","Broadcom / LSI","0013","53c875a","1000 1000","LSI53C875A PCI to Ultra SCSI Controller"
"2","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","N/A","N/A"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1000 9460","MegaRAID 9460-16i"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1000 9480","MegaRAID 9480-8i8e"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1000 9481","MegaRAID 9480-8e"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1028 1f3a","PERC H745 Adapter"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1028 1f3b","PERC H745 Front"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1028 1fd4","PERC H745P MX"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1137 020e","UCSC-RAID-M5 12G Modular RAID Controller"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1d49 0602","ThinkSystem RAID 930-16i 4GB Flash PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1d49 0604","ThinkSystem RAID 930-8e 4GB Flash PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","1d49 0607","ThinkSystem RAID 930-16i 8GB Flash PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","8086 352d","Integrated RAID Module RMSP3AD160F"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","8086 9460","RAID Controller RSP3TD160F"
"3","1000","Broadcom / LSI","0014","MegaRAID Tri-Mode SAS3516","8086 9480","RAID Controller RSP3MD088F"
"2","1000","Broadcom / LSI","0015","MegaRAID Tri-Mode SAS3416","N/A","N/A"
"3","1000","Broadcom / LSI","0015","MegaRAID Tri-Mode SAS3416","1000 9441","MegaRAID 9440-16i"
"3","1000","Broadcom / LSI","0015","MegaRAID Tri-Mode SAS3416","1028 1f3c","PERC H345 Adapter"
"3","1000","Broadcom / LSI","0015","MegaRAID Tri-Mode SAS3416","1028 1f3d","PERC H345 Front"
"3","1000","Broadcom / LSI","0015","MegaRAID Tri-Mode SAS3416","1d49 0503","ThinkSystem RAID 530-16i PCIe 12Gb Adapter"
"2","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","N/A","N/A"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1000 9461","MegaRAID 9460-8i"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1000 9462","MegaRAID 9460-4i"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1000 9463","MegaRAID 9365-28i"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1000 9464","MegaRAID 9365-24i"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1028 1fc9","PERC H840 Adapter"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1028 1fcb","PERC H740P Adapter"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1028 1fcd","PERC H740P Mini"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1028 1fcf","PERC H740P Mini"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1d49 0601","ThinkSystem RAID 930-8i 2GB Flash PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","1d49 0603","ThinkSystem RAID 930-24i 4GB Flash PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","8086 352e","Integrated RAID Module RMSP3CD080F"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","8086 352f","Integrated RAID Module RMSP3HD080E"
"3","1000","Broadcom / LSI","0016","MegaRAID Tri-Mode SAS3508","8086 9461","RAID Controller RSP3DD080F"
"2","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","N/A","N/A"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","1000 9440","MegaRAID 9440-8i"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","1000 9442","MegaRAID 9440-4i"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","1d49 0500","ThinkSystem RAID 530-8i PCIe 12Gb Adapter"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","1d49 0502","ThinkSystem RAID 530-8i Dense Adapter"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","8086 3528","Integrated RAID RMSP3LD060"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","8086 3529","Integrated RAID RMSP3LD060"
"3","1000","Broadcom / LSI","0017","MegaRAID Tri-Mode SAS3408","8086 9441","RAID Controller RSP3WD080E"
"2","1000","Broadcom / LSI","001b","MegaRAID Tri-Mode SAS3504","N/A","N/A"
"3","1000","Broadcom / LSI","001b","MegaRAID Tri-Mode SAS3504","1d49 0605","ThinkSystem RAID 930-4i 2GB Flash Flex Adapter"
"2","1000","Broadcom / LSI","001c","MegaRAID Tri-Mode SAS3404","N/A","N/A"
"3","1000","Broadcom / LSI","001c","MegaRAID Tri-Mode SAS3404","1d49 0501","ThinkSystem RAID 530-4i Flex Adapter"
"2","1000","Broadcom / LSI","0020","53c1010 Ultra3 SCSI Adapter","N/A","N/A"
"3","1000","Broadcom / LSI","0020","53c1010 Ultra3 SCSI Adapter","1000 1000","LSI53C1010-33 PCI to Dual Channel Ultra160 SCSI Controller"
"3","1000","Broadcom / LSI","0020","53c1010 Ultra3 SCSI Adapter","107b 1040","Server Onboard 53C1010-33"
